Face #,Emotion,Confidence,Sentiment,Detection Conf,BBox
1,happy,98.31%,Positive,0.858,"[141, 17, 164, 45]"
2,happy,98.82%,Positive,0.855,"[384, 379, 409, 410]"
3,happy,99.73%,Positive,0.851,"[145, 137, 168, 169]"
4,happy,97.95%,Positive,0.851,"[138, 380, 164, 415]"
5,happy,99.60%,Positive,0.843,"[79, 13, 104, 43]"
6,happy,99.56%,Positive,0.843,"[199, 197, 225, 232]"
7,happy,90.37%,Positive,0.839,"[324, 257, 344, 281]"
8,happy,99.86%,Positive,0.838,"[264, 136, 291, 169]"
9,happy,99.66%,Positive,0.838,"[322, 377, 352, 415]"
10,happy,56.19%,Positive,0.837,"[322, 318, 352, 358]"
11,happy,99.87%,Positive,0.835,"[448, 134, 470, 163]"
12,happy,99.70%,Positive,0.834,"[323, 192, 347, 227]"
13,happy,99.92%,Positive,0.831,"[262, 254, 292, 293]"
14,happy,87.88%,Positive,0.830,"[148, 79, 176, 118]"
15,happy,94.84%,Positive,0.828,"[505, 257, 531, 291]"
16,happy,99.75%,Positive,0.828,"[509, 318, 535, 350]"
17,happy,97.11%,Positive,0.828,"[198, 136, 223, 169]"
18,happy,91.33%,Positive,0.827,"[323, 18, 347, 49]"
19,happy,99.55%,Positive,0.826,"[203, 321, 228, 354]"
20,happy,99.75%,Positive,0.826,"[76, 194, 103, 232]"
21,happy,99.93%,Positive,0.825,"[261, 198, 288, 232]"
22,happy,99.73%,Positive,0.824,"[140, 316, 164, 350]"
23,happy,49.06%,Positive,0.824,"[566, 258, 592, 292]"
24,happy,91.77%,Positive,0.823,"[203, 9, 225, 39]"
25,happy,99.99%,Positive,0.823,"[16, 75, 43, 109]"
26,happy,99.67%,Positive,0.822,"[507, 196, 528, 226]"
27,happy,99.09%,Positive,0.821,"[564, 316, 593, 354]"
28,happy,98.00%,Positive,0.821,"[386, 315, 412, 347]"
29,happy,99.97%,Positive,0.819,"[81, 317, 107, 347]"
30,happy,91.26%,Positive,0.819,"[445, 10, 475, 48]"
31,happy,99.74%,Positive,0.818,"[205, 69, 223, 90]"
32,happy,99.82%,Positive,0.818,"[385, 70, 412, 109]"
33,sad,53.15%,Negative,0.818,"[79, 378, 106, 410]"
34,happy,96.13%,Positive,0.818,"[507, 14, 530, 45]"
35,happy,51.17%,Positive,0.817,"[571, 73, 590, 96]"
36,happy,99.95%,Positive,0.817,"[144, 195, 167, 226]"
37,happy,48.15%,Positive,0.816,"[572, 10, 594, 39]"
38,happy,99.81%,Positive,0.814,"[138, 259, 166, 295]"
39,happy,99.01%,Positive,0.814,"[448, 318, 472, 352]"
40,happy,99.64%,Positive,0.814,"[80, 259, 105, 290]"
41,sad,59.43%,Negative,0.814,"[514, 375, 536, 405]"
42,happy,99.25%,Positive,0.813,"[15, 375, 39, 405]"
43,happy,99.87%,Positive,0.813,"[263, 315, 285, 342]"
44,happy,98.78%,Positive,0.813,"[200, 263, 223, 292]"
45,happy,97.69%,Positive,0.813,"[386, 196, 409, 228]"
46,happy,82.01%,Positive,0.812,"[327, 75, 349, 105]"
47,happy,99.97%,Positive,0.812,"[19, 194, 43, 223]"
48,happy,96.86%,Positive,0.812,"[206, 378, 231, 410]"
49,happy,100.00%,Positive,0.811,"[508, 79, 536, 116]"
50,happy,99.70%,Positive,0.811,"[78, 73, 105, 106]"
51,happy,73.48%,Positive,0.811,"[448, 74, 473, 106]"
52,happy,99.97%,Positive,0.810,"[263, 73, 293, 114]"
53,happy,99.93%,Positive,0.808,"[383, 10, 410, 46]"
54,happy,99.46%,Positive,0.808,"[323, 135, 349, 170]"
55,happy,99.52%,Positive,0.807,"[77, 136, 98, 162]"
56,happy,99.38%,Positive,0.804,"[442, 197, 471, 234]"
57,happy,99.28%,Positive,0.804,"[18, 134, 44, 170]"
58,happy,99.83%,Positive,0.804,"[568, 136, 600, 175]"
59,happy,99.52%,Positive,0.803,"[567, 198, 592, 230]"
60,happy,63.34%,Positive,0.802,"[16, 18, 41, 51]"
61,happy,99.41%,Positive,0.802,"[569, 379, 596, 412]"
62,happy,99.95%,Positive,0.801,"[383, 134, 411, 170]"
63,happy,99.99%,Positive,0.799,"[440, 378, 476, 423]"
64,happy,96.23%,Positive,0.793,"[21, 264, 41, 288]"
65,happy,99.23%,Positive,0.793,"[509, 136, 534, 169]"
66,happy,85.14%,Positive,0.791,"[17, 320, 42, 354]"
67,happy,99.73%,Positive,0.788,"[266, 14, 286, 39]"
68,happy,93.94%,Positive,0.770,"[263, 379, 287, 411]"
69,neutral,56.03%,Neutral,0.765,"[450, 258, 478, 291]"
70,sad,78.54%,Negative,0.746,"[392, 252, 414, 281]"
